,Mã khách hàng,Total Days
578,CUZ00579,0.0
579,CUZ00580,0.0
580,CUZ00581,0.0
581,CUZ00582,0.0
582,CUZ00583,0.0
583,CUZ00584,0.0
584,CUZ00585,143.0
585,CUZ00586,105.0
586,CUZ00587,0.0
587,CUZ00588,24.0
588,CUZ00589,0.0
589,CUZ00590,0.0
590,CUZ00591,0.0
591,CUZ00592,0.0
592,CUZ00593,0.0
593,CUZ00594,78.0
594,CUZ00595,192.0
595,CUZ00596,0.0
596,CUZ00597,0.0
597,CUZ00598,0.0
598,CUZ00599,172.0
599,CUZ00600,0.0
600,CUZ00601,0.0
601,CUZ00602,0.0
602,CUZ00603,0.0
603,CUZ00604,0.0
604,CUZ00605,0.0
605,CUZ00606,0.0
606,CUZ00607,0.0
607,CUZ00608,0.0
608,CUZ00609,160.0
609,CUZ00610,0.0
610,CUZ00611,61.0
611,CUZ00612,0.0
612,CUZ00613,0.0
613,CUZ00614,41.0
614,CUZ00615,0.0
615,CUZ00616,0.0
616,CUZ00617,0.0
617,CUZ00618,75.0
618,CUZ00619,0.0
619,CUZ00620,0.0
620,CUZ00621,0.0
621,CUZ00622,199.0
622,CUZ00623,203.0
623,CUZ00624,0.0
624,CUZ00625,0.0
625,CUZ00626,0.0
626,CUZ00627,0.0
627,CUZ00628,0.0
628,CUZ00629,0.0
629,CUZ00630,0.0
630,CUZ00631,0.0
631,CUZ00632,0.0
632,CUZ00633,0.0
633,CUZ00634,0.0
634,CUZ00635,0.0
635,CUZ00636,0.0
636,CUZ00637,0.0
637,CUZ00638,217.0
638,CUZ00639,0.0
639,CUZ00640,0.0
640,CUZ00641,0.0
641,CUZ00642,0.0
642,CUZ00643,0.0
643,CUZ00644,0.0
644,CUZ00645,0.0
645,CUZ00646,0.0
646,CUZ00647,0.0
647,CUZ00648,0.0
648,CUZ00649,0.0
649,CUZ00650,0.0
650,CUZ00651,0.0
651,CUZ00652,242.0
652,CUZ00653,0.0
653,CUZ00654,0.0
654,CUZ00655,244.0
655,CUZ00656,0.0
656,CUZ00657,0.0
657,CUZ00658,0.0
658,CUZ00659,0.0
659,CUZ00660,0.0
660,CUZ00661,0.0
661,CUZ00662,0.0
662,CUZ00663,0.0
663,CUZ00664,0.0
664,CUZ00665,0.0
665,CUZ00666,0.0
666,CUZ00667,0.0
667,CUZ00668,0.0
668,CUZ00669,0.0
669,CUZ00670,0.0
670,CUZ00671,0.0
671,CUZ00672,244.0
672,CUZ00673,0.0
673,CUZ00674,118.0
674,CUZ00675,0.0
675,CUZ00676,85.0
676,CUZ00677,263.0
677,CUZ00678,0.0
678,CUZ00679,0.0
679,CUZ00680,0.0
680,CUZ00681,0.0
681,CUZ00682,0.0
682,CUZ00683,0.0
683,CUZ00684,0.0
684,CUZ00685,0.0
685,CUZ00686,0.0
686,CUZ00687,0.0
687,CUZ00688,0.0
688,CUZ00689,0.0
689,CUZ00690,0.0
690,CUZ00691,138.0
691,CUZ00692,0.0
692,CUZ00693,0.0
693,CUZ00694,0.0
694,CUZ00695,0.0
695,CUZ00696,0.0
696,CUZ00697,0.0
697,CUZ00698,235.0
698,CUZ00699,0.0
699,CUZ00700,161.0
700,CUZ00701,0.0
701,CUZ00702,129.0
702,CUZ00703,0.0
703,CUZ00704,8.0
704,CUZ00705,0.0
705,CUZ00706,149.0
706,CUZ00707,12.0
707,CUZ00708,144.0
708,CUZ00709,55.0
709,CUZ00710,0.0
710,CUZ00711,226.0
711,CUZ00712,0.0
712,CUZ00713,50.0
713,CUZ00714,0.0
714,CUZ00715,0.0
715,CUZ00716,0.0
716,CUZ00717,0.0
717,CUZ00718,0.0
718,CUZ00719,252.0
719,CUZ00720,0.0
720,CUZ00721,0.0
721,CUZ00722,0.0
722,CUZ00723,89.0
723,CUZ00724,0.0
724,CUZ00725,0.0
725,CUZ00726,0.0
726,CUZ00727,0.0
727,CUZ00728,191.0
728,CUZ00729,0.0
729,CUZ00730,0.0
730,CUZ00731,0.0
731,CUZ00732,69.0
732,CUZ00733,0.0
733,CUZ00734,0.0
734,CUZ00735,127.0
735,CUZ00736,273.0
736,CUZ00737,232.0
737,CUZ00738,0.0
738,CUZ00739,171.0
739,CUZ00740,0.0
